"evaluation of sin","difference from sin","relative error"
"0.66131186532359643","-3.3306690738754696e-16","-5.0364574545259187e-16"
"0.62524265633564735","0.0","0.0"
"0.58778525229241307","4.4408920985006262e-16","7.5552969067882667e-16"
"0.54902281799806829","-4.4408920985006262e-16","-8.0887204555426106e-16"
"0.50904141575030593","0.0","0.0"
"0.46792981426050578","1.1102230246251565e-16","2.3726272419287942e-16"
"0.42577929156500266","-1.1102230246251565e-16","-2.6075082715845547e-16"
"0.38268343236501756","-2.7755575615628914e-16","-7.2528814336426776e-16"
"0.33873792024521809","5.5511151231257827e-16","1.6387640093873299e-15"
"0.29404032523222851","1.1102230246251565e-16","3.7757509067789254e-16"
"0.24868988716477741","-1.6653345369377348e-16","-6.6964304657644288e-16"
"0.20278729535643361","-2.2204460492503131e-16","-1.0949630968485941e-15"
"0.15643446504015079","-1.3877787807814457e-16","-8.8713109379397582e-16"
"0.10973431109096442","2.3592239273284576e-16","2.1499418949947028e-15"
"0.062790519529231426","8.3266726846886741e-17","1.3261034861819061e-15"
"0.015707317311737853","-2.0816681711721685e-17","-1.3252856167975705e-15"
"-0.03141075907821133","3.6082248300317588e-16","-1.1487225829364408e-14"
"-0.07845909572792896","-2.2204460492503131e-16","2.8300683670254317e-15"
"-0.12533323356438808","1.6653345369377348e-16","-1.3287254222817062e-15"
"-0.17192910027949357","0.0","-0.0"
"-0.21814324139662661","-2.2204460492503131e-16","1.0178844116527611e-15"
"-0.26387304996545624","1.1102230246251565e-16","-4.2074134693576927e-16"
"-0.30901699437503022","5.5511151231257827e-17","-1.7963785889357331e-16"
"-0.35347484377933935","-1.1102230246251565e-16","3.1408827082422481e-16"
"-0.39714789063486189","-1.6653345369377348e-16","4.1932352562054662e-16"
"-0.43993916985599529","-2.2204460492503131e-16","5.0471660661112077e-16"
"-0.48175367410179387","-5.5511151231257827e-17","1.1522725038839747e-16"
"-0.52249856471602563","2.2204460492503131e-16","-4.2496691841768203e-16"
"-0.56208337785220575","0.0","-0.0"
"-0.60042022532595707","1.1102230246251565e-16","-1.8490766596385669e-16"
"-0.6374239897487608","-1.1102230246251565e-16","1.7417339831573464e-16"
"-0.67301251350984215","-2.2204460492503131e-16","3.299264136517191e-16"
"-0.7071067811866133","3.3306690738754696e-16","-4.710277376050885e-16"
"-0.73963109497867285","1.1102230246251565e-16","-1.5010496883681851e-16"
"-0.77051324277584932","2.2204460492503131e-16","-2.8817753232260336e-16"
"-0.79968465848714754","2.2204460492503131e-16","-2.7766520536369639e-16"
"-0.82708057427461579","-1.1102230246251565e-16","1.3423396210204412e-16"
"-0.8526401643541428","-1.1102230246251565e-16","1.3021003126988834e-16"
"-0.87630668004391044","-1.1102230246251565e-16","1.2669343392081927e-16"
"-0.89802757576065861","0.0","-0.0"
"-0.91775462568402033","-1.1102230246251565e-16","1.2097166209297893e-16"
"-0.93544403082990224","1.1102230246251565e-16","-1.1868406746261395e-16"
"-0.95105651629518428","0.0","-0.0"
"-0.96455741845782472","-2.2204460492503131e-16","2.3020361533276649e-16"
"-0.97591676193876931","1.1102230246251565e-16","-1.1376206126632895e-16"
"-0.9851093261547913","0.0","-0.0"
"-0.99211470131449075","-1.1102230246251565e-16","1.1190470448166725e-16"
"-0.99691733373313596","1.1102230246251565e-16","-1.1136560545774914e-16"
"-0.99950656036573504","-2.2204460492503131e-16","2.2215422462438043e-16"
"-0.99987663248165881","1.1102230246251565e-16","-1.1103600069836833e-16"
"-0.9980267284282649","1.1102230246251565e-16","-1.1124181276924146e-16"
"-0.99396095545516827","-1.1102230246251565e-16","1.116968446830739e-16"
"-0.98768834059512123","0.0","-0.0"
"-0.9792228106217441","1.1102230246251565e-16","-1.1337797818662288e-16"
"-0.96858316112860454","0.0","-0.0"
"-0.9557930147982987","-2.2204460492503131e-16","2.323145299109447e-16"
"-0.9408807689541886","2.2204460492503131e-16","-2.3599653883014222e-16"
"-0.92387953251124522","-1.1102230246251565e-16","1.2016967424393542e-16"
"-0.90482705246597284","1.1102230246251565e-16","-1.2270002555730481e-16"
"-0.88376563008864195","0.0","-0.0"
"-0.86074202700388724","0.0","-0.0"
"-0.8358073613682091","0.0","-0.0"
"-0.80901699437488162","0.0","-0.0"
"-0.78043040733825952","-2.2204460492503131e-16","2.845155735055711e-16"
"-0.75011106963038487","-2.2204460492503131e-16","2.9601563543708699e-16"
"-0.71812629776310966","-1.1102230246251565e-16","1.5459996773316733e-16"
"-0.68454710592860535","-1.1102230246251565e-16","1.621835831325459e-16"
"-0.64944804833009606","1.1102230246251565e-16","-1.7094870443907492e-16"
"-0.61290705365288511","0.0","-0.0"
"-0.57500525204318342","0.0","-0.0"
"-0.53582679497889807","-1.1102230246251565e-16","2.0719811607571429e-16"
"-0.4954586684323054","5.5511151231257827e-17","-1.1203992334396368e-16"
"-0.4539904997394415","0.0","-0.0"
"-0.41151435860500057","-5.5511151231257827e-17","1.3489481003636427e-16"
"-0.36812455268456695","0.0","-0.0"
"-0.32391741819803593","-5.5511151231257827e-17","1.7137439394296342e-16"
"-0.27899110603911337","5.5511151231257827e-17","-1.9897104255171271e-16"
"-0.23344536385578751","0.0","-0.0"
"-0.18738131458560492","0.0","-0.0"
"-0.14090123193746137","2.7755575615628914e-17","-1.9698603932681117e-16"
"-0.094108313318391756","0.0","-0.0"
"-0.04710645070951907","6.9388939039072284e-18","-1.4730241398775233e-16"
"1.2434497875801753e-13","0.0","0.0"
"0.047106450709767482","-6.9388939039072284e-18","-1.4730241398697555e-16"
"0.09410831331863935","0.0","0.0"
"0.14090123193770759","0.0","0.0"
"0.1873813145858492","0.0","0.0"
"0.23344536385602935","0.0","0.0"
"0.27899110603935218","-5.5511151231257827e-17","-1.9897104255154239e-16"
"0.32391741819827119","5.5511151231257827e-17","1.7137439394283896e-16"
"0.36812455268479821","5.5511151231257827e-17","1.50794481993676e-16"
"0.41151435860522723","5.5511151231257827e-17","1.3489481003628997e-16"
"0.45399049973966304","-5.5511151231257827e-17","-1.2227381688182951e-16"
"0.49545866843252145","0.0","0.0"
"0.53582679497910812","2.2204460492503131e-16","4.1439623215126617e-16"
"0.57500525204338693","0.0","0.0"
"0.61290705365308151","-1.1102230246251565e-16","-1.8114052008505131e-16"
"0.64944804833028535","1.1102230246251565e-16","1.7094870443902514e-16"
"0.68454710592878654","0.0","0.0"
"0.71812629776328285","2.2204460492503131e-16","3.0919993546626017e-16"
"0.7501110696305493","2.2204460492503131e-16","2.9601563543702211e-16"
"0.78043040733841496","2.2204460492503131e-16","2.8451557350551445e-16"
"0.80901699437502772","-1.1102230246251565e-16","-1.37231112862198e-16"
"0.83580736136834577","1.1102230246251565e-16","1.3283240564040381e-16"
"0.86074202700401381","0.0","0.0"
"0.88376563008875841","1.1102230246251565e-16","1.2562414590773966e-16"
"0.90482705246607875","0.0","0.0"
"0.92387953251134036","1.1102230246251565e-16","1.2016967424392302e-16"
"0.94088076895427308","0.0","0.0"
"0.95579301479837175","1.1102230246251565e-16","1.1615726495546345e-16"
"0.96858316112866638","0.0","0.0"
"0.9792228106217945","-1.1102230246251565e-16","-1.1337797818661704e-16"
"0.98768834059516009","0.0","0.0"
"0.99396095545519569","2.2204460492503131e-16","2.2339368936614168e-16"
"0.99802672842828044","-2.2204460492503131e-16","-2.2248362553847942e-16"
"0.99987663248166281","-1.1102230246251565e-16","-1.1103600069836789e-16"
"0.99950656036572727","3.3306690738754696e-16","3.3323133693657326e-16"
"0.99691733373311642","-1.1102230246251565e-16","-1.1136560545775131e-16"
"0.99211470131445967","2.2204460492503131e-16","2.2380940896334155e-16"
"0.98510932615474867","1.1102230246251565e-16","1.1270048868167493e-16"
"0.97591676193871524","1.1102230246251565e-16","1.1376206126633529e-16"
"0.96455741845775911","2.2204460492503131e-16","2.3020361533278217e-16"
"0.95105651629510746","0.0","0.0"
"0.93544403082981442","0.0","0.0"
"0.91775462568392141","0.0","0.0"
"0.89802757576054937","2.2204460492503131e-16","2.4725811424774943e-16"
"0.87630668004379053","0.0","0.0"
"0.8526401643540128","1.1102230246251565e-16","1.3021003126990821e-16"
"0.82708057427447601","1.1102230246251565e-16","1.3423396210206682e-16"
"0.7996846584869981","-3.3306690738754696e-16","-4.1649780804562236e-16"
"0.77051324277569078","-2.2204460492503131e-16","-2.8817753232266267e-16"
"0.73963109497850543","-2.2204460492503131e-16","-3.0020993767370492e-16"
"0.70710678118643755","-1.1102230246251565e-16","-1.570092458684019e-16"
"0.67301251350965785","-1.1102230246251565e-16","-1.6496320682590466e-16"
"0.63742398974856929","2.2204460492503131e-16","3.4834679663157401e-16"
"0.60042022532575845","1.1102230246251565e-16","1.8490766596391792e-16"
"0.56208337785200002","0.0","0.0"
"0.52249856471581402","2.2204460492503131e-16","4.249669184178545e-16"
"0.48175367410157555","-3.3306690738754696e-16","-6.9136350233069755e-16"
"0.43993916985577192","1.6653345369377348e-16","3.7853745495853274e-16"
"0.39714789063463374","2.2204460492503131e-16","5.5909803416105009e-16"
"0.35347484377910654","-5.5511151231257827e-17","-1.5704413541221577e-16"
"0.30901699437479374","-5.5511151231257827e-17","-1.7963785889371077e-16"
"0.26387304996521649","0.0","0.0"
"0.21814324139638355","-1.3877787807814457e-16","-6.3617775728368352e-16"
"0.17192910027924832","-2.4980018054066022e-16","-1.452925538113867e-15"
"0.12533323356414189","3.8857805861880479e-16","3.1003593186634183e-15"
"0.078459095727680589","-2.2204460492503131e-16","-2.8300683670343746e-15"
"0.031410759077963119","0.0","0.0"
"-0.01570731731198621","3.2265856653168612e-16","-2.0541927060037149e-14"
"-0.062790519529479435","1.1102230246251565e-16","-1.7681379815688855e-15"
"-0.10973431109121158","-2.0816681711721685e-16","1.8970075544028174e-15"
"-0.15643446504039638","1.6653345369377348e-16","-1.0645573125510996e-15"
"-0.20278729535667736","0.0","-0.0"
"-0.24868988716501839","8.3266726846886741e-17","-3.3482152328789712e-16"
"-0.29404032523246604","5.5511151231257827e-17","-1.8878754533879365e-16"
"-0.33873792024545113","3.8857805861880479e-16","-1.1471348065703386e-15"
"-0.38268343236524721","3.8857805861880479e-16","-1.0154034007093653e-15"
"-0.42577929156522731","4.9960036108132044e-16","-1.1733787222124294e-15"
"-0.46792981426072561","-1.6653345369377348e-16","3.5589408628915201e-16"
"-0.5090414157505202","-2.2204460492503131e-16","4.3620145248428047e-16"
"-0.54902281799827635","2.2204460492503131e-16","-4.0443602277697739e-16"
"-0.58778525229261347","3.3306690738754696e-16","-5.6664726800892607e-16"
"-0.62524265633584186","-4.4408920985006262e-16","7.1026697450969431e-16"
"-0.66131186532378372","-4.4408920985006262e-16","6.715276606032665e-16"
"-0.69591279659244054","0.0","-0.0"
"-0.72896862742153168","6.6613381477509392e-16","-9.1380313187318592e-16"
"-0.76040596560014517","6.6613381477509392e-16","-8.7602391999824968e-16"
"-0.79015501237579999","-7.7715611723760958e-16","9.8354893035594979e-16"
"-0.81814971742512665","-6.6613381477509392e-16","8.1419549574807011e-16"
"-0.844327925502111","-1.1102230246251565e-16","1.3149192287640152e-16"
"-0.86863151443827924","8.8817841970012523e-16","-1.0225031039479214e-15"
"-0.8910065241884495","2.2204460492503131e-16","-2.4920648603249557e-16"
"-0.91140327663552001","-3.3306690738754696e-16","3.6544405306186336e-16"
"-0.92977648588831818","0.0","-0.0"
"-0.9460853588276037","5.5511151231257827e-16","-5.8674569597026263e-16"
"-0.96029368567699369","3.3306690738754696e-16","-3.4683858943916653e-16"
"-0.97236992039772085","-1.4432899320127035e-15","1.4843012949458248e-15"
"-0.98228725072872181","1.3322676295501878e-15","-1.3562912768763181e-15"
"-0.99002365771658341","1.1102230246251565e-16","-1.121410600617165e-16"
"-0.99556196460309787","-4.4408920985006262e-16","4.4606887932596793e-16"
"-0.9988898749619799","-1.2212453270876722e-15","1.2226025688108584e-15"
"-0.99999999999999944","5.5511151231257827e-16","-5.5511151231257827e-16"
"-0.99888987496196102","1.1102230246251565e-16","-1.1114568807371635e-16"
"-0.99556196460306356","-1.2212453270876722e-15","1.2266894181464551e-15"
"-0.99002365771653167","-6.6613381477509392e-16","6.7284636037033474e-16"
"-0.98228725072865408","-7.7715611723760958e-16","7.9116991151124175e-16"
"-0.97236992039763159","7.7715611723760958e-16","-7.9923915881705416e-16"
"-0.96029368567689355","-3.5527136788005009e-15","3.699611620684844e-15"
"-0.94608535882748634","-2.7755575615628914e-15","2.933728479851687e-15"
"-0.92977648588818207","-1.1102230246251565e-15","1.1940751798692798e-15"
"-0.91140327663536358","2.6645352591003757e-15","-2.9235524244953987e-15"
"-0.89100652418827864","1.7763568394002505e-15","-1.9936518882603432e-15"
"-0.86863151443809605","-4.4408920985006262e-16","5.1125155197406938e-16"
"-0.84432792550190938","1.8873791418627661e-15","-2.2353626888993545e-15"
"-0.81814971742490938","2.3314683517128287e-15","-2.8496842351189916e-15"
"-0.79015501237557284","-1.9984014443252818e-15","2.5291258209160305e-15"
"-0.76040596559990237","1.5543122344752192e-15","-2.0440558133298993e-15"
"-0.72896862742127377","3.4416913763379853e-15","-4.7213161813464466e-15"
"-0.69591279659217842","-5.440092820663267e-15","7.817204752237563e-15"
"-0.66131186532350128","2.4424906541753444e-15","-3.6934021333195267e-15"
"-0.62524265633555809","-7.5495165674510645e-15","1.207453856667042e-14"
"-0.58778525229231571","-3.3306690738754696e-15","5.6664726800921668e-15"
"-0.54902281799796226","2.886579864025407e-15","-5.2576682961036886e-15"
"-0.50904141575019901","1.1102230246251565e-16","-2.1810072624227772e-16"
"-0.46792981426039759","-1.4988010832439613e-15","3.2030467766046224e-15"
"-0.42577929156489364","-3.0531133177191805e-15","7.1706477468594149e-15"
"-0.38268343236490759","-4.3298697960381105e-15","1.1314495036485965e-14"
"-0.3387379202451028","-1.9428902930940239e-15","5.7356740328576301e-15"
